Index	Mass	RT	ParentCompound	ParentCompoundSmiles	GoodFilter	FilterNoisyT0	FilterNoisyT12	FilterDifferentMassDefect	FilterLikelyDrugFragment	FilterLikelyDrugMetaboliteFragment	PotentialFragments	IonSpectrum	LeadingMZ	DrugMassFlag	DrugMassDelta	MassDiff	DrugConsumedFlag	NumberOfDrugs	NumberOfIncreasedT12vsT0
3464	390.24	4.053	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(413.227, 1404.24)(414.232, 444.89)(415.2176, 706.39)(391.2424, 14143.83)(392.2469, 3166.4)(393.2356, 859.64)	391.242	0	104.086	104.086	0	1	0
3876	420.233	1.645	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	0	0	1	1		(841.4704, 8005.48)(842.4708, 472.15)(421.2397, 93612.2)(422.2292, 5197.94)(423.2253, 2317.02)	421.24	0	134.078	134.079	0	1	0
4278	450.688	3.073	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	1	1	0	0		(451.6949, 8807.84)(452.6962, 1223.45)	451.695	0	164.533	164.533	0	1	0
4628	482.777	2.065	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	1	1	0	0		(966.5612, 407.0)(483.7829, 526.42)(484.773, 1811.01)(485.7723, 12356.88)	485.772	0	196.622	196.622	0	1	0
4653	484.282	4.072	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(485.2894, 5826.42)(486.2916, 2093.63)(487.2881, 992.47)(969.5635, 414.65)	485.289	0	198.128	198.128	0	1	0
4654	484.288	4.121	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	0	0	0	0		(485.3018, 30586.81)(486.3046, 4413.84)(487.2966, 881.84)	485.302	0	198.134	198.134	0	1	0
4863	502.286	4.138	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	0	0	0	0		(503.2932, 12472.09)(504.2934, 5970.0)(505.2926, 2983.62)	503.293	0	216.132	216.132	0	1	1
4864	502.291	4.081	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(503.2987, 7210.85)(504.3003, 2678.03)(505.295, 764.11)	503.299	0	216.136	216.136	0	1	0
5014	520.3	4.05	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(521.3101, 109440.64)(522.3132, 37545.37)(523.3155, 8485.45)(524.3131, 2217.9)	521.31	0	234.146	234.146	0	1	0
5050	525.314	1.968	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	1	0	0	0		(526.3216, 9492.45)(527.3117, 5734.91)	526.322	0	239.16	239.16	0	1	5
5804	636.058	0.651	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	1	0	0	0		(637.0657, 7993.06)(638.0696, 1885.39)(639.0814, 1008.76)	637.066	0	349.904	349.904	0	1	1
5882	650.363	4.04	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	0	1	0	0		(673.3543, 4471.23)(674.3512, 3023.88)(675.3572, 2009.37)(651.3741, 271090.03)(652.3773, 97828.38)(653.3794, 23100.63)(654.38, 3487.5)	651.374	0	364.209	364.209	0	1	1
6355	802.412	4.036	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	0	1	0	0		(803.4195, 60048.09)(804.4224, 24903.53)(805.4244, 6363.6)	803.419	0	516.257	516.257	0	1	0
6377	818.385	4.075	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	0	1	0	0		(819.3916, 7051.51)(820.395, 3541.33)(821.3985, 1660.52)	819.392	0	532.231	532.231	0	1	0
6395	825.447	2.031	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	1	1	0	0		(826.4544, 6982.86)(827.4569, 3428.47)(828.4541, 1095.72)(864.4074, 516.01)	826.454	0	539.293	539.293	0	2	0
6437	848.466	4.072	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	0	1	0	0		(849.4734, 6923.23)(850.4785, 3830.08)(851.4862, 1954.33)(852.4893, 315.26)	849.473	0	562.312	562.312	0	1	0
6462	864.38	4.077	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	0	1	0	0		(865.3878, 6976.02)(866.3903, 3615.4)(867.3934, 1389.9)(868.3952, 435.9)	865.388	0	578.226	578.226	0	1	0
6496	888.289	2.321	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	1	0	0	0		(889.2966, 11911.45)(890.2973, 4101.65)(891.3004, 734.32)	889.297	0	602.135	602.135	0	1	11
6550	959.512	3.161	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	1	1	0	0		(960.5197, 15054.44)(961.5215, 7926.11)(962.5219, 3073.73)(963.5146, 1239.14)	960.52	0	673.357	673.357	0	2	0
117	129.042	1.073	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	0	0	0		(152.0349, 525.28)(281.0736, 788.85)(130.0499, 28264.12)(297.0471, 981.7)(259.0922, 20821.59)(260.0957, 3019.84)(261.0908, 1924.53)	130.05	0	-207.163	-207.163	0	1	0
1373	254.124	0.598	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	0	0	0		(531.2374, 5528.25)(255.1321, 10177.65)(256.1254, 3047.47)(257.1256, 2903.13)(509.2457, 24091.16)(510.2486, 7386.41)(511.2481, 3598.53)	509.246	0	-82.081	-82.081	0	1	0
1850	290.166	0.505	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	0	0	0		(313.1485, 2977.23)(314.1586, 1469.56)(291.1741, 18424.66)(581.3385, 11756.34)(582.3399, 3811.87)(583.3192, 16943.61)	291.174	0	-46.039	-46.039	0	1	0
2288	318.191	2.025	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	0	0	0	1	1		(319.201, 8246.02)(320.2043, 1405.07)(321.1932, 702.58)	319.201	0	-18.014	-18.014	0	1	0
2289	318.194	2.025	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	0	0	0	1	1		(319.2013, 12392.22)(320.2042, 2562.68)(321.1918, 1447.44)	319.201	0	-18.011	-18.011	0	1	1
2614	336.205	2.02	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	1	0	0	0	0	0	[[2288],318.191,2.025][[2289],318.194,2.025][[3297],380.211,2.031]	(337.2128, 2217093.0)(338.2164, 397481.3)(339.2183, 43776.74)(340.2144, 4876.58)	337.213	1	0.001	0.0	0	1	0
2619	336.83	1.124	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	0	0	1	0	0		(337.8375, 52419.74)(338.8497, 2442.56)	337.837	0	0.625	0.625	0	1	1
3297	380.211	2.031	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	0	0	0	1	1		(381.2189, 9865.2)(382.2224, 2228.5)(383.2213, 810.69)	381.219	0	44.007	44.007	0	1	7
4157	441.089	0.496	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	0	0	0		(464.0759, 1180.0)(480.0525, 2312.17)(481.0691, 1204.75)(482.0641, 3878.83)(483.0751, 935.07)(442.0971, 9717.83)(443.1129, 4178.41)(444.1042, 19121.13)(445.1056, 3449.56)	444.104	0	104.884	104.884	0	1	0
5095	531.316	2.152	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	0	0	0		(532.3103, 8953.28)(533.306, 2670.72)(534.3039, 963.73)(570.2678, 1229.04)	532.31	0	195.111	195.111	0	1	1
5198	544.286	2.799	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	0	0	0		(545.2931, 36238.48)(546.2946, 20035.0)	545.293	0	208.081	208.081	0	2	0
6030	683.844	2.152	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	1	0	0		(684.8408, 4486.32)(685.8495, 2156.1)(686.834, 8009.05)(687.8369, 0.0)	686.834	0	347.639	347.639	0	1	1
6223	748.343	3.195	ACEBUTOLOL	CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1	0	1	1	0	0	0		(749.351, 9859.43)(750.3363, 4921.51)(787.3061, 647.27)	749.351	0	412.138	412.138	0	1	0
65	118.041	0.717	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0	1	1	0	0	0		(259.0718, 1508.79)(119.049, 43189.62)(120.0521, 3591.81)(157.0073, 2250.81)(237.087, 19976.24)	119.049	0	-159.138	-159.138	1	2	0
707	196.135	0.75	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0	0	1	0	0	0		(197.1423, 28800.36)(198.154, 599.42)	197.142	0	-81.044	-81.044	1	1	0
1667	277.18	1.339	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	1	0	0	0	0	0		(278.1868, 1318609.1)(279.19, 200872.47)(280.1894, 22376.75)(281.1861, 3782.38)	278.187	1	0.001	0.0	1	1	0
3264	377.21	2.149	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	1	0	0	0	0	0		(378.2177, 6859.24)(379.2118, 3224.41)(380.219, 8831.29)(416.1745, 3026.24)(793.379, 1547.37)(794.3813, 988.43)	380.219	0	100.031	100.031	1	1	0
3273	378.15	1.88	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	1	0	0	0	0	0		(379.157, 8786.37)(380.1585, 3370.53)	379.157	0	100.971	100.971	1	1	0
4380	459.101	1.445	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0	1	1	0	0	0		(460.1086, 7586.43)(461.1181, 1168.65)	460.109	0	181.922	181.922	1	1	0
4861	502.277	0.443	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0	0	1	0	0	0		(503.2845, 9740.88)(504.2719, 3735.54)(505.2651, 2244.53)(541.2353, 2274.59)(542.2216, 1353.59)(543.2224, 1052.36)	503.284	0	225.098	225.098	1	1	0
4877	503.884	3.198	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0	1	1	1	0	0		(504.8914, 6387.46)(505.8809, 1399.75)(506.8815, 842.49)	504.891	0	226.704	226.704	1	2	1
5361	568.83	2.635	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0	0	0	1	0	0		(569.8351, 46296.24)(570.8284, 6636.66)(571.8173, 2010.21)	569.835	0	291.651	291.651	1	1	1
5563	594.313	3.1	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	1	0	0	0	0	0		(595.3179, 4961.31)(596.3177, 2885.56)(597.3033, 7432.49)	597.303	0	317.134	317.134	1	1	0
6138	717.829	2.459	ACECAINIDE	CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1	0	1	1	1	0	0		(718.8363, 5930.36)(719.8425, 3274.59)(720.854, 2120.38)	718.836	0	440.65	440.65	1	1	0
152	134.037	2.138	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	0	1	0	0	0		(135.044, 10986.75)(136.0395, 1806.39)	135.044	0	-255.17	-255.17	1	1	0
938	219.074	0.441	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(220.0817, 12104.08)(221.078, 3519.7)(222.071, 810.82)(439.1509, 2831.73)(440.1428, 1055.97)	220.082	0	-170.132	-170.132	1	2	6
941	219.107	0.923	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	0	1	0	0	0		(220.1141, 41550.07)(221.1188, 15656.47)(439.2203, 4621.27)	220.114	0	-170.1	-170.1	1	3	0
1270	246.031	3.348	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	1	0	0	0	0	0		(269.0205, 4093.39)(270.024, 658.49)(271.018, 1478.52)(247.0389, 45512.27)(248.0418, 5970.1)(249.0358, 13838.19)(250.0386, 2097.46)	247.039	0	-143.175	-143.175	1	2	0
1407	257.236	5.363	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(258.243, 6911.8)(259.2449, 1459.89)(553.4287, 490.13)	258.243	0	-131.971	-131.971	1	1	0
1909	294.198	4.188	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	0	1	0	0	0		(295.2055, 9487.6)(296.2087, 2318.1)	295.205	0	-95.008	-95.008	1	1	0
2224	315.184	4.21	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	1	0	0	0	0	0		(316.1899, 15053.26)(317.1961, 2522.24)(318.1796, 802.61)	316.19	0	-74.022	-74.022	1	1	0
2343	321.187	1.494	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(322.1957, 8390.96)(323.189, 3364.27)(324.1908, 10557.81)(325.1847, 2113.85)	324.191	0	-68.019	-68.019	1	2	0
2776	346.099	1.863	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	1	0	0	0	0	0		(347.1066, 16154.37)(348.1115, 4328.75)(349.1145, 1836.32)	347.107	0	-43.107	-43.107	1	2	0
3446	389.207	2.415	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	1	0	0	0	0	0	[[4883],504.295,2.415]	(779.4219, 1387.31)(390.2135, 180328.02)(391.2165, 40380.39)(392.2202, 12991.57)	390.214	1	0.0	0.0	1	1	0
3447	389.214	2.384	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	1	0	0	0	0	0	[[4883],504.295,2.415]	(390.2217, 8153.63)(391.2276, 4528.33)(392.2262, 51925.87)	392.226	0	0.008	0.007	1	1	0
3491	392.203	3.001	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(393.2108, 6850.5)(394.2054, 1274.45)(395.2063, 4044.95)(431.1638, 929.12)(785.4102, 7276.32)(786.4125, 3132.86)(787.4129, 1588.28)	785.41	0	2.996	2.996	1	1	7
3694	406.738	1.751	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	1	0	0		+		0	17.531	17.531	1	1	0
3979	427.278	0.742	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(428.2855, 24327.46)(429.2885, 6035.96)(430.293, 1293.7)	428.286	0	38.072	38.072	1	1	0
4174	442.195	1.128	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(443.2026, 22978.95)(444.2072, 7648.19)(481.1618, 1849.62)	443.203	0	52.989	52.989	1	1	3
4660	484.916	3.048	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	1	0	0		(507.903, 1195.37)(508.9112, 448.23)(509.9016, 906.95)(485.9233, 5507.24)(486.9246, 1459.36)(487.9326, 1107.29)	485.923	0	95.71	95.71	1	1	2
4676	487.132	0.355	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(488.1389, 6053.87)(489.1404, 1482.6)(490.1386, 2800.04)(491.141, 642.28)(975.2812, 793.26)	488.139	0	97.926	97.926	1	1	0
4715	489.578	2.048	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	1	0	0		(490.5859, 13241.67)(491.5937, 1907.71)(492.5889, 1439.18)(493.596, 289.23)	490.586	0	100.372	100.372	1	2	0
4883	504.295	2.415	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	1	1		(505.3019, 14238.68)(506.2894, 9944.66)(507.2899, 9425.67)	505.302	0	115.088	115.088	1	1	0
4916	509.875	3.212	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	1	0	0		(510.8825, 5887.09)(511.8833, 1122.94)	510.882	0	120.669	120.669	1	1	0
5108	532.793	2.844	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	1	0	0		(533.8002, 6419.84)(534.7964, 1349.06)(535.7963, 935.88)	533.8	0	143.587	143.587	1	1	1
5119	533.775	1.739	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	0	1	1	0	0		(534.7756, 5282.01)(535.7818, 2130.37)(536.7792, 1382.34)	534.776	0	144.568	144.568	1	1	0
5272	555.172	0.921	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(556.1791, 5994.33)(557.1825, 1963.82)(558.1809, 765.53)	556.179	0	165.966	165.966	1	2	0
5297	558.278	2.916	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(559.2855, 30661.85)(560.2893, 10606.32)(561.286, 6112.88)	559.285	0	169.072	169.072	1	1	0
5348	566.311	4.075	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	0	1	0	0	0		(567.3185, 9472.59)(568.3175, 1940.66)(569.3214, 1227.76)	567.318	0	177.105	177.105	1	1	0
5701	618.005	3.861	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	0	1	1	0	0		(619.0128, 14664.34)(620.0143, 3283.81)(621.0138, 2053.52)	619.013	0	228.799	228.799	1	2	0
5723	620.775	2.626	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	1	0	0		(621.7828, 9907.23)(622.8002, 4057.14)	621.783	0	231.569	231.569	1	1	1
5874	648.346	0.726	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(671.3302, 931.34)(649.3535, 19849.09)(650.3545, 6904.19)(651.3459, 2245.43)(687.3032, 1370.0)	649.354	0	259.14	259.14	1	1	0
5977	669.905	4.145	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	0	0	1	0	0		(670.912, 9184.79)(671.9081, 3013.37)(672.8947, 1491.83)	670.912	0	280.698	280.698	1	1	0
6062	694.086	3.81	ALFUZOSIN	COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC	0	1	1	0	0	0		(717.0802, 622.45)(695.0931, 18053.47)(696.0959, 6612.74)	695.093	0	304.88	304.88	1	1	8
992	223.106	4.169	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	0	1	1	0	0	0		(224.1135, 15811.92)(225.1158, 3393.03)(226.1146, 858.04)	224.113	0	-112.061	-112.061	0	1	1
1027	226.081	0.587	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	0	1	1	0	0	0		(227.0886, 14961.49)(228.0913, 1757.04)(265.0427, 660.46)(453.1678, 578.98)	227.089	0	-109.086	-109.085	0	1	2
1334	250.805	1.082	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	0	0	1	1	0	0		(251.8122, 3031.55)(252.8193, 0.0)(253.8264, 5470.5)(254.8166, 0.0)(255.8069, 6358.06)	255.807	0	-84.362	-84.362	0	1	0
2585	335.154	1.823	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	1	0	0	0	0	0		(358.1507, 2905.98)(336.163, 856276.1)(337.1657, 148891.31)(338.1674, 271391.84)	336.163	0	-0.013	-0.013	0	1	2
2586	335.16	1.82	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	1	0	0	0	0	0		(336.177, 12827.46)(671.3407, 3548.09)	336.177	0	-0.007	-0.008	0	1	1
2587	335.167	1.81	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	1	0	0	0	0	0		(336.1707, 1378396.6)(337.1633, 253776.58)(338.1674, 523526.34)(671.3432, 2118.2)	336.171	1	0.0	0.0	0	1	0
4272	450.24	2.436	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	1	0	0	0	0	0		(923.4726, 861.73)(924.4678, 611.33)(925.4518, 621.23)(451.2484, 12751.79)(452.2505, 4260.89)	451.248	0	115.073	115.073	0	1	0
4294	451.537	3.393	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	0	1	1	1	0	0		(452.5443, 8261.72)(453.545, 3107.38)	452.544	0	116.37	116.37	0	1	0
4383	459.238	0.999	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	0	1	1	0	0	0		(460.2402, 119072.32)(461.2369, 46112.16)	460.24	0	124.072	124.072	0	1	0
5306	559.273	0.879	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	1	0	0	0	0	0		(560.2862, 7926.24)(561.2908, 3433.17)(562.2946, 1431.21)	560.286	0	224.106	224.106	0	1	1
5508	588.282	1.562	ALMOTRIPTAN	C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12	0	1	1	0	0	0		(611.2672, 5248.07)(589.2895, 12019.85)(590.3026, 1583.44)	589.289	0	253.115	253.115	0	2	0
68	118.084	0.453	ALPRENOLOL	C=CCc1ccccc1OCC(O)C[NH2+]C(C)C	1	0	0	0	0	0		(119.0931, 175564.16)(120.0931, 19060.92)(121.096, 911.19)(237.1824, 613.84)	119.093	0	-131.089	-131.089	1	3	0
185	139.972	4.179	ALPRENOLOL	C=CCc1ccccc1OCC(O)C[NH2+]C(C)C	0	0	1	1	0	0		(162.9597, 1395.72)(140.9798, 10091.71)(141.9784, 3.57)(142.977, 4101.91)(143.9735, 3.57)(144.9701, 1484.01)(318.9069, 1653.16)	140.98	0	-109.201	-109.201	1	1	0
1085	231.162	2.503	ALPRENOLOL	C=CCc1ccccc1OCC(O)C[NH2+]C(C)C	0	0	0	0	1	1		(232.1697, 10226.86)(233.1735, 1864.58)	232.17	0	-18.01	-18.011	1	1	0
